"""+/-""",DEF RTG,FG%,NETRTG,Num of All Stars,OFFRTG,OPP EFG%,OPP FG%,OPP PTS OFF TOV,PIE,Wins
-6.3,111.7,46.5,-6.5,0,105.2,52.2,48.2,17.7,45.9,4
-1.8,108.8,46.5,-1.8,1,107,50.5,45.9,16.6,50,2
-7.4,109.1,44.3,-7.8,0,101.3,51.2,47.1,18.1,44.5,4
4.7,106,46.8,4.9,2,110.9,49.6,46,13.6,52.3,1
3.7,103.2,48.3,3.7,3,106.9,48.7,45.1,16.1,54,1
1.5,102,45.3,1.9,0,103.9,49.1,44.8,16.9,51.8,2
-1.6,104.1,45.1,-1.6,1,102.5,48.4,44.2,15.5,50,2
6.5,103.8,48.5,6.8,1,110.5,48.2,44.2,15.6,55.2,0
2.7,105,46.4,2.8,1,107.8,49.5,45.7,15,53.4,0
4.1,106.4,46.8,4.4,2,110.8,49.5,45.6,16.5,52.4,1
-5.1,110.3,44.5,-5.9,2,104.5,52.6,48,16.2,44.8,4
-3.6,110.3,46.9,-3.4,0,107,52.5,48.5,17.9,47,4
-0.4,106.8,44.7,0,0,106.8,51.1,47.5,16.4,48.9,2
-3,105.9,44.3,-3,0,103,49,45.3,17.4,47.6,3
-6.4,109.1,45.5,-6.7,0,102.3,50.9,47,18.8,46.5,3
4.7,102.7,45.7,4.9,1,107.6,48.4,44.6,15.2,52.9,0
-1.5,108.9,46.9,-1.4,2,107.5,52,47.8,18.8,48.6,2
2.3,103.4,45.8,2.3,1,105.6,48,43.9,13.8,52.2,1
1.7,101.9,43.6,2.2,1,104,48.6,45.1,14.8,49.5,1
-9.6,110.4,44.9,-9.8,0,100.6,52.5,48,19.6,43.2,4
-9.1,108.9,42.9,-9.6,0,99.3,51.7,48.1,16.6,42.9,4
-2.5,108.9,46.4,-2.4,1,106.4,52.3,48.3,15.9,48.4,2
-3.8,110.3,45.5,-3.9,1,106.4,52.6,48.6,15.9,47.4,3
3.5,103.5,46.2,3.5,1,107,48.3,44.8,16.3,53.2,1
7.5,102.7,47,7.9,1,110.7,47.7,43.8,16.3,55.1,0
-3.9,108.9,46,-4.1,1,104.7,51.8,47.2,16.4,47.8,4
4.9,109.1,49.2,4.8,2,113.9,49.1,45.2,17.2,53.6,0
3.3,106.1,46.1,3.5,1,109.6,50.2,46.4,14.1,52.5,1
-4.4,109,45.6,-4.7,0,104.3,50.5,46.9,16.8,46.7,4
5.1,103.9,47.3,5.4,1,109.3,48.3,45.2,15.7,53.2,1
-1.8,112.2,48.2,-2,1,110.1,51.3,46.8,15.6,48.9,2
5.3,104,49.1,5.7,1,109.7,49.2,44.9,17.1,55,1
-4.8,108.3,44.9,-5.3,0,103.1,50.2,46.3,17.1,46.2,4
